,firearm_used_flag,zip_code,report_no,age,sex
16657,True,64052,KC20010357,36,M
16663,True,64134,KC20014117,29,F
16674,True,64132,KC20012251,25,F
16732,True,64119,KC20002837,81,F
16735,True,64120,KC20004329,41,F
16767,True,64136,KC20011636,59,F
16780,True,64030,KC20006857,18,M
16783,True,64130,KC20010114,29,F
16801,True,64114,KC20003723,66,M
16849,True,64123,KC20009630,22,M
16868,True,64124,KC20010233,18,M
16875,True,64127,KC20004227,24,M
16883,True,64133,KC20004714,38,M
16936,True,64134,KC20007732,30,M
16941,True,64130,KC20005139,34,M
16992,True,64130,KC20012804,32,M
17048,True,64123,KC20003763,77,F
17130,True,64111,KC20005243,31,M
17138,True,64132,KC20013538,76,F
17148,True,64134,KC20013845,21,M
17152,True,64137,KC20015688,29,M
17167,True,64108,KC20000218,21,F
17185,True,64133,KC20004714,35,M
17190,True,64124,KC20013610,24,M
17206,True,64132,KC20003379,50,M
17216,True,64128,KC20014136,38,F
17218,True,64120,KC20010297,22,M
17222,True,64130,KC20003393,20,F
17225,True,64130,KC20005775,31,M
17250,True,64124,KC20002236,47,M
17284,True,64126,KC20003885,67,M
17292,True,64131,KC20005218,50,M
17325,True,64153,KC20003233,38,M
17360,True,64106,KC20001088,41,M
17419,True,64128,KC20008719,25,F
17439,True,64128,KC20014132,33,M
17475,True,64130,KC20008013,30,F
17482,True,64124,KC20009638,42,M
17522,True,64124,KC20004033,33,F
17526,True,64127,KC20016606,21,M
17604,True,64124,KC20013039,48,M
17612,True,64156,KC20006859,25,M
17614,True,64130,KC20010590,29,M
17631,True,64134,KC20011352,22,M
17632,True,64108,KC20008160,24,F
17639,True,64132,KC20013571,19,M
17651,True,64134,KC20008525,36,F
17657,True,64128,KC20000814,64,M
17702,True,64133,KC20021897,59,F
17717,True,64132,KC20031014,26,M
17724,True,64128,KC20025109,41,M
17729,True,64151,KC20028769,28,M
17734,True,64128,KC20024718,34,M
17762,True,64124,KC20021957,19,F
17764,True,64128,KC20025182,27,M
17770,True,64108,KC20022751,18,M
17819,True,64137,KC20019144,37,M
17833,True,64111,KC20020690,23,F
17852,True,64130,KC20024031,57,F
17877,True,64112,KC20026006,20,M
17884,True,64111,KC20021847,37,M
17906,True,64134,KC20021465,42,M
17916,True,64132,KC20026117,24,M
17922,True,64106,KC20021337,18,M
17935,True,64127,KC20022354,38,F
17944,True,64127,KC20032491,26,M
17992,True,64134,KC20026293,29,F
18010,True,64123,KC20027262,33,M
18031,True,64137,KC20019589,29,F
18057,True,64137,KC20024603,58,F
18063,True,64124,KC20022590,23,M
18076,True,64114,KC20032228,25,M
18086,True,64130,KC20020637,39,M
18113,True,64127,KC20025852,69,F
18117,True,64138,KC20022655,19,M
18121,True,64110,KC20020287,23,F
18124,True,64129,KC20027059,24,M
18153,True,64127,KC20018845,18,M
18155,True,64146,KC20021556,52,M
18163,True,64130,KC20031302,39,M
18191,True,64129,KC20020796,52,M
18221,True,64125,KC20021950,26,M
18247,True,64130,KC20022464,56,M
18269,True,64130,KC20027962,28,F
18278,True,64131,KC20023798,18,M
18285,True,64124,KC20022590,39,M
18300,True,64130,KC20023243,34,F
18329,True,64131,KC20028609,23,F
18330,True,64119,KC20030303,22,M
18331,True,64130,KC20028942,42,F
18360,True,64124,KC20023291,62,M
18395,True,64114,KC20032228,20,F
18404,True,64130,KC20031879,30,M
18406,True,64123,KC20027255,30,F
18409,True,64119,KC20022266,54,M
18455,True,64130,KC20017871,60,M
18481,True,64128,KC20028666,62,F
18486,True,64130,KC20023202,26,M
18500,True,64130,KC20028978,23,M
18513,True,64131,KC20031848,50,M
18521,True,64130,KC20028931,23,M
18544,True,64127,KC20028787,31,M
18551,True,64126,KC20026833,25,M
18559,True,64112,KC20032165,31,F
18578,True,64106,KC20017222,29,M
18583,True,64110,KC20028403,29,M
18594,True,64132,KC20019635,44,M
18624,True,64128,KC20023965,38,F
18627,True,64130,KC20031953,23,F
18640,True,64132,KC20032086,33,M
18647,True,64127,KC20022434,24,M
18674,True,64134,KC20025662,19,F
18676,True,64130,KC20026518,34,M
18690,True,64128,KC20025109,52,M
18699,True,64128,KC20029779,42,F
18703,True,64105,KC20022611,53,M
18715,True,64125,KC20022601,35,F
18751,True,64127,KC20032168,30,M
18754,True,64126,KC20022238,32,M
18802,True,64131,KC20022028,66,F
18818,True,64125,KC20021032,30,M
18861,True,64114,KC20020071,35,M
18864,True,64128,KC20022637,56,F
18871,True,64119,KC20020647,21,M
18884,True,64134,KC20021445,53,F
18910,True,64129,KC20023724,65,F
18911,True,64106,KC20031865,39,M
18919,True,64123,KC20023381,42,M
18927,True,64127,KC20031832,39,M
18932,True,64132,KC20029977,34,F
18942,True,64132,KC20030556,47,M
18967,True,64114,KC20032228,51,M
18980,True,64128,KC20031132,26,M
18982,True,64117,KC20030435,46,F
18986,True,64114,KC20031926,55,F
18990,True,64127,KC20022774,23,M
19026,True,64117,KC20031010,38,M
19029,True,64131,KC20028614,34,M
19034,True,64133,KC20019305,27,M
19062,True,64127,KC20022630,39,M
19069,True,64105,KC20031545,20,M
19086,True,64110,KC20020287,32,M
19093,True,64127,KC20023338,43,F
19094,True,64130,KC20031890,44,M
19097,True,64114,KC20032228,58,F
19113,True,64127,KC20022724,40,M
19138,True,64127,KC20024186,19,M
19151,True,64129,KC20017447,55,F
19198,True,64161,KC20028947,20,M
19201,True,64133,KC20023461,31,F
19247,True,64111,KC20019868,21,M
19276,True,64131,KC20020341,38,F
19285,True,64127,KC20029026,29,F
19304,True,64124,KC20022384,22,M
19319,True,64155,KC20019318,38,M
19321,True,64138,KC20021905,27,M
19323,True,64133,KC20025264,42,M
19336,True,64137,KC20018660,47,M
19366,True,64117,KC20031849,23,F
19406,True,64127,KC20017337,30,M
19427,True,64123,KC20020501,22,M
19447,True,64157,KC20020057,28,M
19474,True,64124,KC20029744,58,M
19481,True,64138,KC20027840,40,M
19493,True,64111,KC20032123,42,M
19501,True,64130,KC20020205,38,M
19503,True,64312,KC20027382,62,F
19513,True,64131,KC20031685,26,F
19521,True,64127,KC20028787,24,M
19538,True,64106,KC20022727,23,F
19541,True,64131,KC20027895,43,M
19543,True,64127,KC20017462,18,F
19573,True,64128,KC20026616,24,F
19578,True,64106,KC20018858,26,M
19648,True,64114,KC20032228,51,M
19656,True,64127,KC20030478,18,M
19664,True,64134,KC20029573,27,M
19681,True,64139,KC20029190,54,F
19684,True,64111,KC20027173,38,M
19695,True,64127,KC20020532,50,F
19703,True,64131,KC20029981,31,M
19745,True,64119,KC20016999,39,M
19748,True,64138,KC20029046,26,M
19792,True,64126,KC20030018,36,M
19812,True,64111,KC20021037,25,M
19824,True,64109,KC20026387,48,M
19828,True,64127,KC20029158,50,M
19838,True,64114,KC20018534,19,M
19862,True,64130,KC20022883,31,M
19868,True,64130,KC20030559,39,M
19885,True,64132,KC20025923,21,M
19891,True,64133,KC20026818,27,F
19932,True,64130,KC20023726,56,M
19933,True,64155,KC20026976,20,F
19951,True,64127,KC20020532,23,M
20000,True,64127,KC20019132,19,M
20009,True,64119,KC20020223,24,F
20050,True,64134,KC20018179,28,M
20085,True,64137,KC20032200,26,F
20090,True,64131,KC20022097,28,M
20093,True,64155,KC20019318,26,M
20105,True,64126,KC20022790,25,M
20125,True,64119,KC20021547,39,M
20207,True,64130,KC20022169,29,M
20210,True,64130,KC20018411,24,F
20228,True,64106,KC20031865,25,F
20259,True,64123,KC20030882,27,M
20260,True,64134,KC20020687,23,M
20307,True,64130,KC20030505,27,M
20334,True,64110,KC20027542,25,F
20341,True,64106,KC20029791,26,M
20344,True,64127,KC20020824,26,M
20352,True,64133,KC20027202,39,M
20378,True,64127,KC20029308,24,M
20408,True,64133,KC20028992,37,M
20445,True,64132,KC20017251,36,M
20470,True,64030,KC20017983,35,F
20520,True,64129,KC20017195,51,M
20534,True,64161,KC20028947,28,M
20564,True,64126,KC20017253,26,M
20586,True,64128,KC20031489,40,M
20618,True,64134,KC20032452,55,F
20631,True,64106,KC20027588,27,M
20640,True,64112,KC20032165,34,M
20654,True,64134,KC20023310,24,M
20679,True,64130,KC20028284,34,M
20691,True,64124,KC20029148,33,M
20723,True,64134,KC20023482,35,M
20773,True,64133,KC20027462,34,M
20784,True,64117,KC20031457,59,M
20785,True,64131,KC20021017,23,M
20794,True,64130,KC20020250,27,M
20802,True,64130,KC20025093,18,F
20822,True,64130,KC20026573,52,F
20835,True,64145,KC20020661,21,M
20836,True,64129,KC20019169,27,F
20845,True,64128,KC20027848,19,M
20853,True,64110,KC20025470,43,M
20854,True,64138,KC20022620,46,M
20858,True,64127,KC20027907,50,F
20862,True,64131,KC20020803,28,F
20874,True,64111,KC20019845,33,M
20894,True,64127,KC20017481,21,F
20896,True,64130,KC20020122,54,M
20939,True,64130,KC20025061,24,M
20961,True,64130,KC20019130,39,F
20970,True,64108,KC20024881,41,F
21044,True,64127,KC20022354,30,M
21052,True,64130,KC20020250,59,M
21065,True,64124,KC20022590,27,F
21083,True,64125,KC20028505,39,M
21089,True,64134,KC20018870,30,F
21097,True,64127,KC20028882,23,F
21111,True,64126,KC20031485,23,F
21120,True,64137,KC20019144,19,F
21123,True,64127,KC20020773,21,M
21140,True,64125,KC20024736,44,M
21154,True,64132,KC20032067,30,M
21156,True,64110,KC20021446,52,F
21183,True,64130,KC20028978,22,F
21201,True,64125,KC20021950,38,M
21218,True,64119,KC20018057,56,F
21239,True,64111,KC20026396,27,M
21271,True,64133,KC20022037,34,F
21273,True,64130,KC20019329,32,F
21283,True,64131,KC20031685,21,M
21291,True,64118,KC20028491,39,M
21324,True,64106,KC20031865,32,M
21338,True,64130,KC20032410,49,M
21367,True,64114,KC20032228,50,F
21372,True,64134,KC20019631,38,F
21390,True,64132,KC20031874,62,F
21425,True,64114,KC20025240,27,F
21429,True,64132,KC20017593,33,M
21437,True,64133,KC20021897,27,M
21457,True,64124,KC20023291,27,M
21461,True,64130,KC20028942,23,M
21505,True,64134,KC20022617,18,M
21511,True,64129,KC20019259,20,F
21515,True,64106,KC20022727,48,M
21555,True,64128,KC20027831,26,M
21563,True,64134,KC20025626,52,M
21574,True,64116,KC20027950,31,F
21576,True,64147,KC20031716,40,M
21583,True,64151,KC20026215,28,F
21598,True,64129,KC20021153,29,F
21610,True,64114,KC20032228,21,F
21615,True,64132,KC20028986,53,F
21635,True,64127,KC20027427,37,F
21643,True,64134,KC20017216,39,M
21655,True,64130,KC20027584,21,F
21663,True,64127,KC20022716,48,M
21680,True,64130,KC20030505,27,M
21701,True,64130,KC20021461,30,F
21742,True,64138,KC20023094,20,M
21748,True,64108,KC20031295,19,M
21784,True,64109,KC20021086,51,M
21785,True,64117,KC20029522,41,M
21810,True,64138,KC20020739,58,F
21821,True,64116,KC20028096,38,M
21824,True,64128,KC20028738,27,M
21838,True,64131,KC20025040,27,M
21851,True,64138,KC20024811,20,M
21858,True,64134,KC20026293,30,M
21884,True,64124,KC20031366,35,F
21893,True,64130,KC20019863,39,M
21902,True,64112,KC20025638,47,M
21907,True,64127,KC20028787,24,M
21919,True,64126,KC20026833,22,M
21924,True,64132,KC20028986,56,F
21946,True,64124,KC20029655,42,M
21954,True,64128,KC20020827,53,F
21973,True,64130,KC20021461,35,F
21983,True,64147,KC20031716,30,F
22007,True,64117,KC20022421,39,M
22021,True,64130,KC20029198,18,M
22025,True,64110,KC20020287,25,M
22026,True,64128,KC20027848,55,F
22065,True,64113,KC20029479,51,F
22074,True,64137,KC20020678,31,F
22080,True,64128,KC20025109,39,F
22087,True,64137,KC20031335,27,M
22091,True,64130,KC20031302,52,F
22138,True,64130,KC20022464,47,F
22148,True,64133,KC20027462,52,M
22157,True,64133,KC20029645,29,M
22191,True,64124,KC20024717,41,M
22210,True,64131,KC20027138,34,M
22211,True,64129,KC20023724,46,M
22214,True,64132,KC20031014,57,F
22217,True,64114,KC20022904,25,M
22221,True,64137,KC20032375,46,M
22232,True,64137,KC20018660,47,M
22250,True,64134,KC20018179,24,F
22262,True,64137,KC20019144,43,M
22270,True,64114,KC20024724,36,F
22271,True,64126,KC20031485,19,M
22277,True,64126,KC20031485,28,F
22329,True,64131,KC20020803,18,M
22334,True,64127,KC20021813,31,M
22337,True,64119,KC20030303,20,M
22350,True,64131,KC20023392,20,M
22379,True,64131,KC20028609,34,M
22384,True,64130,KC20028942,41,M
22387,True,64130,KC20028978,22,M
22397,True,64127,KC20023922,25,M
22416,True,64130,KC20019131,32,F
22440,True,64127,KC20017836,34,M
22443,True,64123,KC20027262,41,F
22449,True,64106,KC20022727,40,M
22498,True,64161,KC20023893,28,M
22500,True,64127,KC20022716,18,M
22526,True,64109,KC20029407,30,M
22541,True,64131,KC20021017,26,M
22543,True,64111,KC20021563,34,F
22544,True,64137,KC20024603,36,M
22546,True,64119,KC20031083,55,F
22553,True,64127,KC20022434,24,F
22559,True,64138,KC20022655,20,F
22565,True,64123,KC20022229,51,M
22573,True,64123,KC20017258,18,M
22638,True,64125,KC20021950,73,M
22664,True,64108,KC20024881,22,M
22696,True,64131,KC20031513,25,M
22710,True,64128,KC20020001,24,M
22727,True,64124,KC20021957,20,F
22738,True,64127,KC20028211,35,F
22747,True,64114,KC20032228,24,F
22770,True,64127,KC20020532,26,M
22786,True,64124,KC20017140,35,M
22795,True,64132,KC20024788,21,F
22805,True,64110,KC20027542,28,M
22824,True,64106,KC20019347,38,M
22848,True,64124,KC20020077,18,M
22853,True,64137,KC20020502,51,M
22863,True,64127,KC20025875,61,M
22870,True,64108,KC20023516,30,M
22891,True,64131,KC20023366,24,M
22901,True,64118,KC20028979,25,F
22920,True,64134,KC20022248,30,F
22934,True,64114,KC20032228,25,M
22937,True,64127,KC20017462,28,F
22955,True,64123,KC20027255,32,M
22964,True,64117,KC20030435,46,M
22970,True,64108,KC20024753,33,M
22986,True,64130,KC20021433,30,F
23019,True,64131,KC20031685,32,F
23026,True,64133,KC20019305,59,F
23037,True,64136,KC20024741,33,M
23044,True,64130,KC20019959,30,F
23076,True,64146,KC20021556,62,M
23091,True,64124,KC20020283,25,M
23101,True,64126,KC20020297,55,F
23118,True,64127,KC20018845,22,M
23127,True,64132,KC20022683,19,M
23133,True,64134,KC20025662,19,F
23154,True,64130,KC20026591,25,M
23161,True,64127,KC20020611,25,M
23170,True,64134,KC20020939,20,F
23229,True,64126,KC20023711,45,F
23236,True,64123,KC20030882,31,F
23240,True,64137,KC20029612,19,M
23251,True,64131,KC20022028,69,M
23261,True,64132,KC20019099,61,M
23270,True,64145,KC20021347,23,M
23276,True,64124,KC20028681,43,M
23281,True,64110,KC20019189,52,F
23291,True,64132,KC20019099,46,M
23300,True,64110,KC20019189,34,F
23321,True,64117,KC20031849,20,F
23332,True,64137,KC20025071,44,M
23374,True,64124,KC20022398,39,M
23386,True,64130,KC20020144,38,F
23405,True,64133,KC20026381,29,F
23433,True,64132,KC20017251,50,F
23453,True,64105,KC20022611,49,M
23456,True,64111,KC20020663,29,M
23462,True,64128,KC20031132,31,F
23469,True,64127,KC20024920,40,M
23484,True,64114,KC20031926,64,M
23491,True,64111,KC20019868,45,M
23499,True,64130,KC20028931,34,M
23505,True,64110,KC20020505,18,M
23534,True,64132,KC20031054,21,M
23540,True,64117,KC20031010,39,M
23542,True,64131,KC20028614,19,F
23598,True,64133,KC20027932,52,M
23622,True,64161,KC20032238,30,M
23631,True,64130,KC20031890,30,M
23642,True,64130,KC20030505,39,M
23645,True,64111,KC20021563,28,M
23649,True,64127,KC20023338,58,M
23674,True,64127,KC20022074,46,M
23700,True,64110,KC20026559,27,F
23746,True,64114,KC20032228,21,M
23794,True,64110,KC20021431,34,M
23804,True,64130,KC20019329,38,F
23808,True,64127,KC20024186,19,M
23811,True,64134,KC20023809,26,M
23824,True,64130,KC20031298,50,M
23847,True,64132,KC20018006,50,F
23855,True,64128,KC20026837,49,F
23903,True,64119,KC20030303,21,M
23916,True,64134,KC20026806,76,F
23921,True,64127,KC20017481,22,M
23949,True,64131,KC20024746,34,M
23954,True,64119,KC20020647,19,M
23971,True,64128,KC20030853,54,F
23972,True,64133,KC20020763,19,F
23977,True,64130,KC20031880,54,M
23988,True,64132,KC20030556,42,F
23995,True,64123,KC20023381,26,M
24007,True,64124,KC20021957,38,M
24048,True,64119,KC20018378,31,M
24053,True,64131,KC20023366,35,M
24128,True,64105,KC20023961,26,M
24167,True,64129,KC20019169,36,M
24191,True,64117,KC20023327,22,M
24217,True,64133,KC20019374,24,M
24251,True,64129,KC20020796,43,M
24257,True,64129,KC20017447,24,M
24263,True,64124,KC20022398,28,M
24290,True,64129,KC20032018,32,F
24305,True,64130,KC20022169,27,M
24314,True,64127,KC20032046,61,F
24320,True,64138,KC20025837,69,M
24327,True,64130,KC20032410,30,M
24330,True,64134,KC20020182,18,M
24345,True,64128,KC20031549,28,M
24430,True,64114,KC20032228,24,F
24436,True,64130,KC20031953,23,F
24458,True,64134,KC20027420,35,M
24476,True,64127,KC20017481,20,F
24539,True,64129,KC20023724,38,M
24578,True,64138,KC20030770,52,M
24580,True,64130,KC20022464,44,M
24605,True,64106,KC20022727,42,M
24621,True,64030,KC20017983,24,M
24623,True,64130,KC20022042,48,F
24625,True,64127,KC20022354,29,F
24638,True,64128,KC20026837,30,M
24643,True,64108,KC20024753,33,M
24654,True,64119,KC20020223,38,F
24661,True,64116,KC20027950,25,M
24671,True,64147,KC20017867,21,M
24699,True,64161,KC20032238,31,M
24726,True,64128,KC20021889,27,M
24739,True,64134,KC20018407,28,F
24774,True,64138,KC20020739,26,M
24799,True,64138,KC20023094,18,M
24804,True,64125,KC20028058,21,M
24822,True,64126,KC20022790,29,M
24874,True,64132,KC20027778,33,M
24875,True,64116,KC20028096,38,M
24877,True,64131,KC20029981,34,F
24885,True,64127,KC20025822,45,M
24891,True,64134,KC20021418,35,F
24930,True,64131,KC20023798,18,M
24933,True,64106,KC20022727,29,M
24938,True,64127,KC20018845,19,M
24940,True,64106,KC20031865,25,F
24980,True,64132,KC20023355,34,M
25005,True,64127,KC20017462,28,M
25013,True,64111,KC20020663,33,M
25016,True,64130,KC20020144,34,F
25031,True,64127,KC20025741,23,F
25056,True,64114,KC20020071,37,M
25078,True,64131,KC20028197,24,F
25128,True,64133,KC20031822,98,M
25138,True,64130,KC20029071,24,F
25174,True,64124,KC20022590,37,M
25180,True,64128,KC20027831,25,F
25236,True,64132,KC20026613,62,M
25262,True,64108,KC20031295,25,M
25271,True,64129,KC20031216,20,M
25284,True,64116,KC20028506,36,M
25298,True,64118,KC20028979,31,M
25299,True,64109,KC20018107,26,M
25304,True,64110,KC20020287,26,F
25305,True,64112,KC20032165,39,M
25308,True,64128,KC20028738,45,M
25332,True,64114,KC20032228,21,F
25336,True,64128,KC20021188,42,F
25349,True,64127,KC20025852,54,M
25352,True,64111,KC20018937,56,F
25403,True,64133,KC20027235,33,M
25430,True,64131,KC20021927,40,F
25437,True,64133,KC20022037,36,M
25445,True,64131,KC20031685,33,M
25449,True,64137,KC20027575,50,F
25478,True,64134,KC20020687,21,F
25500,True,64137,KC20028435,20,M
25535,True,64155,KC20025260,20,M
25544,True,64130,KC20030505,39,M
25556,True,64119,KC20027415,28,M
25562,True,64126,KC20031485,23,M
25565,True,64132,KC20031874,39,M
25575,True,64127,KC20027907,38,M
25581,True,64130,KC20028942,42,M
25616,True,64134,KC20024145,41,M
25620,True,64128,KC20025109,37,M
25626,True,64119,KC20022266,52,F
25627,True,64128,KC20029779,34,M
25639,True,64109,KC20026595,30,F
25653,True,64129,KC20019259,24,M
25654,True,64106,KC20019347,21,M
25661,True,64138,KC20032494,21,M
25674,True,64130,KC20023726,21,M
25692,True,64137,KC20031335,44,M
25700,True,64137,KC20028861,18,F
25730,True,64130,KC20023202,27,F
25752,True,64119,KC20024489,38,M
25794,True,64114,KC20019890,30,U
25802,True,64130,KC20022158,19,M
25806,True,64127,KC20020773,18,F
25809,True,64137,KC20027477,32,M
25824,True,64130,KC20027584,21,M
25848,True,64157,KC20017354,23,M
25855,True,64110,KC20021446,52,M
25881,True,64130,KC20028978,20,F
25895,True,64108,KC20019045,19,M
25927,True,64125,KC20021950,32,M
25936,True,64132,KC20024788,24,M
25947,True,64134,KC20025902,24,M
25957,True,64108,KC20018371,25,F
25966,True,64118,KC20032318,45,F
25984,True,64130,KC20028931,31,M
26003,True,64137,KC20020678,28,M
26012,True,64106,KC20031865,29,F
26019,True,64109,KC20026847,53,M
26041,True,64112,KC20025638,48,M
26042,True,64138,KC20026141,25,M
26044,True,64134,KC20023310,44,M
26080,True,64130,KC20018926,40,F
26090,True,64130,KC20020250,28,M
26105,True,64108,KC20024881,22,M
26122,True,64126,KC20019872,48,F
26124,True,64130,KC20029198,39,F
26152,True,64131,KC20025040,57,M
26165,True,64127,KC20019690,23,M
26195,True,64132,KC20017593,28,F
26202,True,64120,KC20028982,20,M
26206,True,64130,KC20019130,55,M
26232,True,64128,KC20020781,19,M
26244,True,64127,KC20024186,22,M
26246,True,64127,KC20017462,21,F
26271,True,64125,KC20021950,50,M
26305,True,64127,KC20032374,25,M
26312,True,64161,KC20032238,24,M
26316,True,64127,KC20017328,38,M
26323,True,64131,KC20027138,30,M
26326,True,64134,KC20030067,35,F
26330,True,64132,KC20031128,44,M
26340,True,64124,KC20021957,59,F
26345,True,64124,KC20031123,32,M
26346,True,64132,KC20017593,33,M
26349,True,64134,KC20025115,60,M
26366,True,64132,KC20028473,22,F
26368,True,64128,KC20029779,22,M
26380,True,64119,KC20030303,21,M
26382,True,64128,KC20020001,23,M
26401,True,64130,KC20031248,20,M
26422,True,64127,KC20025875,27,M
26424,True,64137,KC20027575,54,M
26443,True,64155,KC20019318,24,F
26454,True,64132,KC20017251,38,M
26457,True,64130,KC20028978,22,M
26487,True,64138,KC20025097,29,M
26518,True,64124,KC20031366,42,M
26521,True,64130,KC20024764,23,M
26557,True,64119,KC20026100,26,F
26558,True,64134,KC20023317,24,F
26564,True,64126,KC20017253,56,M
26574,True,64120,KC20028982,20,M
26588,True,64127,KC20017836,36,F
26605,True,64127,KC20029602,19,M
26608,True,64111,KC20026260,70,M
26621,True,64111,KC20023437,30,M
26638,True,64117,KC20022421,29,F
26672,True,64127,KC20025721,40,M
26675,True,64109,KC20027624,30,F
26691,True,64114,KC20032228,21,M
26693,True,64113,KC20029479,22,M
26739,True,64129,KC20021153,49,M
26768,True,64114,KC20019079,30,M
26812,True,64127,KC20020773,20,F
26814,True,64053,KC20019100,36,M
26826,True,64108,KC20022751,26,M
26846,True,64124,KC20021957,34,F
26857,True,64109,KC20029055,29,F
26897,True,64114,KC20024724,44,M
26905,True,64126,KC20031485,45,F
26916,True,64053,KC20026449,23,M
26928,True,64131,KC20020803,19,M
26933,True,64108,KC20024748,19,M
26959,True,64134,KC20032452,60,F
26972,True,64132,KC20025923,20,M
26988,True,64114,KC20032228,32,F
27008,True,64133,KC20027202,58,M
27009,True,64128,KC20031930,22,M
27018,True,64119,KC20020647,20,M
27034,True,64137,KC20028435,54,M
27053,True,64130,KC20023568,24,M
27068,True,64125,KC20021950,27,M
27105,True,64132,KC20030341,43,M
27112,True,64124,KC20023291,63,F
27113,True,64129,KC20019259,22,F
27128,True,64137,KC20027477,41,M
27132,True,64124,KC20029655,36,M
27137,True,64132,KC20023334,67,M
27164,True,64130,KC20031837,26,F
27184,True,64119,KC20031083,57,M
27229,True,64134,KC20017284,27,M
27291,True,64129,KC20023748,46,F
27293,True,64127,KC20032333,29,M
27316,True,64110,KC20031695,65,M
27335,True,64127,KC20030063,24,M
27339,True,64117,KC20031849,18,F
27369,True,64114,KC20022904,28,F
27372,True,64129,KC20023724,28,M
27398,True,64130,KC20029710,29,M
27418,True,64119,KC20030303,20,M
27428,True,64131,KC20023392,18,F
27432,True,64128,KC20026837,30,M
27441,True,64127,KC20020532,34,M
27496,True,64130,KC20028931,34,M
27505,True,64130,KC20031880,47,F
27519,True,64127,KC20017337,18,M
27538,True,64134,KC20021418,39,F
27551,True,64125,KC20022601,18,M
27567,True,64134,KC20022248,35,M
27597,True,64130,KC20028931,32,M
27600,True,64130,KC20028978,23,M
27608,True,64137,KC20019144,35,M
27624,True,64132,KC20029977,37,M
27645,True,64127,KC20017462,29,F
27698,True,64131,KC20027895,24,M
27710,True,64130,KC20029198,40,F
27715,True,64130,KC20019959,38,M
27732,True,64134,KC20032452,60,M
27740,True,64130,KC20026591,25,F
27769,True,64123,KC20022229,44,M
27797,True,64126,KC20023711,35,M
27801,True,64117,KC20023327,27,M
27823,True,64130,KC20026518,34,M
27832,True,64127,KC20030839,31,M
27834,True,64133,KC20020763,25,F
27838,True,64127,KC20023922,55,M
27861,True,64128,KC20031549,29,F
27902,True,64130,KC20031581,36,M
27905,True,64134,KC20025662,19,M
27913,True,64128,KC20024718,32,M
27943,True,64106,KC20021157,18,M
27944,True,64130,KC20028534,35,M
27982,True,64114,KC20019890,28,M
27989,True,64132,KC20030556,22,F
28000,True,64110,KC20019189,52,M
28002,True,64123,KC20023381,41,F
28011,True,64134,KC20027433,27,F
28024,True,64137,KC20025071,39,M
28034,True,64147,KC20031723,40,M
28050,True,64138,KC20019844,76,M
28053,True,64131,KC20024746,19,M
28056,True,64106,KC20029349,42,M
28082,True,64130,KC20019131,32,F
28091,True,64130,KC20019130,44,M
28123,True,64119,KC20021547,33,F
28135,True,64134,KC20023310,35,F
28172,True,64134,KC20025662,19,F
28195,True,64131,KC20023366,22,M
28201,True,64138,KC20021905,27,M
28207,True,64137,KC20019589,29,F
28251,True,64124,KC20024834,39,M
28257,True,64127,KC20029308,30,M
28279,True,64129,KC20030253,23,M
28282,True,64137,KC20019144,36,F
28309,True,64146,KC20021556,65,F
28311,True,64111,KC20019138,30,M
28315,True,64111,KC20021563,36,M
28323,True,64136,KC20024741,55,F
28371,True,64127,KC20018845,36,M
28372,True,64128,KC20027848,36,F
28440,True,64110,KC20021431,27,M
28453,True,64131,KC20023798,19,F
28455,True,64106,KC20022727,38,F
28461,True,64106,KC20031865,33,F
28468,True,64138,KC20032494,22,M
28508,True,64132,KC20031874,61,M
28529,True,64132,KC20022805,39,M
28547,True,64134,KC20019631,20,M
28554,True,64127,KC20032236,21,M
28582,True,64106,KC20029791,35,M
28605,True,64126,KC20019872,51,M
28638,True,64109,KC20026595,26,M
28647,True,64125,KC20020628,39,M
28655,True,64111,KC20022618,48,M
28656,True,64116,KC20028096,49,F
28670,True,64132,KC20020527,23,F
28703,True,64130,KC20022042,53,F
28706,True,64147,KC20017867,18,M
28715,True,64128,KC20020001,26,M
28717,True,64124,KC20022384,19,M
28719,True,64030,KC20017983,25,F
28729,True,64127,KC20017462,24,M
28735,True,64130,KC20025093,19,F
28737,True,64112,KC20032165,27,M
28763,True,64128,KC20026837,49,F
28795,True,64130,KC20018614,38,M
28823,True,64134,KC20025902,25,F
28824,True,64132,KC20022683,22,M
28843,True,64129,KC20021108,30,M
28850,True,64106,KC20024452,29,M
28867,True,64138,KC20020739,60,M
28878,True,64157,KC20017354,72,F
28916,True,64116,KC20028096,41,F
28920,True,64128,KC20025109,27,F
28953,True,64139,KC20029190,32,M
28958,True,64132,KC20027778,30,F
28964,True,64128,KC20027831,28,M
28989,True,64126,KC20022238,48,M
29000,True,64105,KC20031545,20,M
29014,True,64131,KC20020940,19,F
29065,True,64128,KC20019615,22,M
29104,True,64109,KC20017347,30,M
29178,True,64132,KC20026117,63,M
29221,True,64123,KC20024981,41,F
29239,True,64127,KC20028787,24,M
29288,True,64116,KC20028506,62,M
29318,True,64134,KC20025827,28,F
29349,True,64128,KC20021188,37,M
29366,True,64132,KC20031359,33,F
29374,True,64128,KC20023368,26,M
29383,True,64105,KC20023961,24,M
29390,True,64124,KC20022590,41,F
29404,True,64128,KC20027848,20,M
29428,True,64130,KC20031945,23,M
