,firearm_used_flag,zip_code,report_no,age,sex
3914,True,64133,KC20004714,25,F
3921,True,64128,KC20014136,50,M
4001,True,64131,KC20005218,27,M
4025,True,64153,KC20003233,38,F
4059,True,64111,KC20015257,24,M
4069,True,64106,KC20001088,25,M
4082,True,64131,KC20013389,68,M
4089,True,64133,KC20004714,38,M
4115,True,64134,KC20011352,25,M
4129,True,64130,KC20008013,58,F
4131,True,64130,KC20004945,31,M
4234,True,64133,KC20004714,30,M
4236,True,64213,KC20016364,33,M
4239,True,64119,KC20005121,32,M
4302,True,64156,KC20006859,30,M
4312,True,64130,KC20015947,26,F
4367,True,64124,KC20010233,21,M
4374,True,64124,KC20007605,28,F
4379,True,64111,KC20005243,20,M
4397,True,64132,KC20000075,22,M
4399,True,64130,KC20004772,31,F
4409,True,64108,KC20009618,24,M
4418,True,64133,KC20004714,31,M
4489,True,64124,KC20000233,33,M
4529,True,64145,KC20016224,20,M
4541,True,64108,KC20014416,29,M
4550,True,64132,KC20001150,25,F
4573,True,64111,KC20005997,24,M
4574,True,64129,KC20003867,44,M
4577,True,64111,KC20009190,22,M
4632,True,64119,KC20002828,37,M
4647,True,64130,KC20003459,39,M
4652,True,64123,KC20009630,19,M
4697,True,64130,KC20007634,44,F
4701,True,64108,KC20009618,28,F
4779,True,64138,KC20004878,23,M
4781,True,64110,KC20000048,36,F
4792,True,64130,KC20003393,21,M
4793,True,64129,KC20005774,28,M
4801,True,64134,KC20000477,62,F
4813,True,64134,KC20007732,60,M
4840,True,64132,KC20000645,27,M
4846,True,64154,KC20002387,22,M
4858,True,64131,KC20000498,18,M
4897,True,64126,KC20010467,34,M
4904,True,64127,KC20009325,31,M
4908,True,64131,KC20013389,23,M
4909,True,64111,KC20003946,34,M
4997,True,64137,KC20010067,47,M
5043,True,64127,KC20001352,23,F
5070,True,64117,KC20010723,26,F
5103,True,64137,KC20015933,62,M
5105,True,64133,KC20008724,35,M
5199,True,64132,KC20011577,36,M
5200,True,64130,KC20007687,53,M
5245,True,64109,KC20008267,45,M
5257,True,64131,KC20001607,42,M
5260,True,64108,KC20009618,28,M
5262,True,64134,KC20011352,51,F
5290,True,64111,KC20015257,23,M
5292,True,64131,KC20001012,57,M
5333,True,64138,KC20013712,45,M
5366,True,64134,KC20014117,30,M
5466,True,64132,KC20013754,40,F
5474,True,64123,KC20007026,71,F
5481,True,64118,KC20007781,30,M
5497,True,64132,KC20006854,28,F
5512,True,64213,KC20016364,19,M
5546,True,64124,KC20008442,30,M
5572,True,64127,KC20002563,43,M
