,Lat,Lng
3539,39.304425, -94.46637
3585,39.10091, -94.577328
3599,39.086379, -94.575724
3602,39.033747, -94.41578
3632,39.04855, -94.566739
3666,38.935454, -94.58709
3672,39.069837, -94.586984
3698,39.184283, -94.551814
3711,39.09687, -94.583329
3717,39.033747, -94.41578
3731,39.033747, -94.41578
3732,39.175643, -94.516699
3734,39.11291, -94.527097
3766,39.082596, -94.538402
3768,38.995156, -94.577755
3785,38.918989, -94.593082
3799,39.059746, -94.583565
3813,39.092893, -94.519448
3828,39.103025, -94.537363
3842,39.056624, -94.587312
3850,38.926329, -94.511269
3898,39.033747, -94.41578
3929,38.971462, -94.605386
3944,38.941985, -94.511819
3947,39.15001, -94.484286
3970,39.097601, -94.514422
3986,39.003351, -94.556635
3995,38.953273, -94.526768
4021,38.971462, -94.605386
4030,39.123092, -94.549034
4039,39.034299, -94.510631
4044,38.953573, -94.535256
4051,39.11451, -94.524402
4086,39.297401, -94.681712
4090,39.084761, -94.576146
4104,39.265021, -94.659395
4106,39.035286, -94.495582
4158,39.252223, -94.655534
4180,39.084761, -94.576146
4201,39.066234, -94.525822
4220,39.053555, -94.5548
4246,38.889332, -94.578897
4275,39.029718, -94.507146
4277,39.099709, -94.506437
4282,39.104748, -94.50687
4301,39.018228, -94.387915
4307,39.078666, -94.548927
4333,38.882537, -94.589873
4356,38.941667, -94.599173
4366,39.103507, -94.583149
4370,39.025285, -94.575088
4381,39.059403, -94.564993
4396,39.193531, -94.51162
4408,39.11451, -94.524402
4460,39.183343, -94.534438
4474,39.162995, -94.558463
4494,38.936276, -94.603763
4510,39.084761, -94.576146
4513,39.102357, -94.58304
4523,39.054938, -94.538615
4537,39.052858, -94.591462
4560,39.177485, -94.582454
4600,38.971462, -94.605386
4630,38.882537, -94.589873
4634,39.069553, -94.553372
4652,39.285851, -94.570811
4668,39.208764, -94.598624
4674,39.057357, -94.55689
4683,39.112414, -94.544321
4701,39.061129, -94.562551
4710,39.050432, -94.565336
4731,39.074714, -94.547993
4754,39.091041, -94.564575
4770,39.056624, -94.587312
4785,38.951848, -94.536038
4794,39.084885, -94.572393
4820,39.033457, -94.546652
4822,38.924545, -94.549852
4834,38.971462, -94.605386
4844,39.054958, -94.528055
4846,39.102481, -94.551233
4863,39.264495, -94.647811
4910,39.111602, -94.580938
4914,39.106987, -94.482944
4923,39.107142, -94.521328
4928,39.068808, -94.590071
4972,38.929928, -94.51932
4977,39.033747, -94.41578
4993,39.26915, -94.669477
4995,39.196021, -94.631621
4999,39.033747, -94.41578
5011,39.0984, -94.544496
5012,39.120394, -94.5622
5017,39.168919, -94.496877
