,firearm_used_flag,zip_code,report_no
3671,True,64137,KC20012786
3683,True,64134,KC20004297
3722,True,64131,KC20004503
3764,True,64119,KC20007180
3766,True,64127,KC20008328
3811,True,64123,KC20000357
3824,True,64133,KC20004714
3840,True,64118,KC20014205
3841,True,64134,KC20013845
3854,True,64125,KC20016243
3883,True,64133,KC20004714
3905,True,64118,KC20002038
3910,True,64133,KC20004714
3917,True,64128,KC20014136
3997,True,64131,KC20005218
4006,True,64126,KC20003885
4021,True,64153,KC20003233
4027,True,64129,KC20010215
4054,True,64134,KC20002731
4055,True,64111,KC20015257
4065,True,64106,KC20001088
4078,True,64131,KC20013389
4083,True,64114,KC20003723
4085,True,64133,KC20004714
4111,True,64134,KC20011352
4125,True,64130,KC20008013
4127,True,64130,KC20004945
4132,True,64109,KC20001735
4139,True,64132,KC20015237
4141,True,64110,KC20015284
4143,True,64111,KC20003946
4145,True,64124,KC20010233
4230,True,64133,KC20004714
4232,True,64213,KC20016364
4235,True,64119,KC20005121
4253,True,64106,KC20012133
4298,True,64156,KC20006859
4299,True,64132,KC20003456
4308,True,64130,KC20015947
4363,True,64124,KC20010233
4370,True,64124,KC20007605
4375,True,64111,KC20005243
4393,True,64132,KC20000075
4395,True,64130,KC20004772
4405,True,64108,KC20009618
4414,True,64133,KC20004714
4482,True,64138,KC20000102
4485,True,64124,KC20000233
4490,True,64129,KC20001292
4525,True,64145,KC20016224
4537,True,64108,KC20014416
4546,True,64132,KC20001150
4547,True,64127,KC20000249
4550,True,64125,KC20000794
4557,True,64155,KC20009838
4569,True,64111,KC20005997
4570,True,64129,KC20003867
4573,True,64111,KC20009190
4578,True,64132,KC20005231
4628,True,64119,KC20002828
4629,True,64124,KC20007031
4638,True,64114,KC20009918
4643,True,64130,KC20003459
4648,True,64123,KC20009630
4681,True,64134,KC20013845
4693,True,64130,KC20007634
4697,True,64108,KC20009618
4732,True,64134,KC20011352
4775,True,64138,KC20004878
4777,True,64110,KC20000048
4781,True,64123,KC20000357
4788,True,64130,KC20003393
4789,True,64129,KC20005774
4797,True,64134,KC20000477
4806,True,64134,KC20004297
4809,True,64134,KC20007732
4836,True,64132,KC20000645
4842,True,64154,KC20002387
4846,True,64132,KC20016018
4854,True,64131,KC20000498
4893,True,64126,KC20010467
4900,True,64127,KC20009325
4904,True,64131,KC20013389
4905,True,64111,KC20003946
4942,True,64123,KC20004883
4946,True,64127,KC20001107
4993,True,64137,KC20010067
5021,True,64123,KC20000357
5039,True,64127,KC20001352
5066,True,64117,KC20010723
5079,True,64131,KC20000498
5099,True,64137,KC20015933
5101,True,64133,KC20008724
5134,True,64124,KC20004033
5139,True,64106,KC20011927
5140,True,64132,KC20002842
5149,True,64126,KC20012010
5195,True,64132,KC20011577
5196,True,64130,KC20007687
5213,True,64123,KC20008067
5241,True,64109,KC20008267
5253,True,64131,KC20001607
5256,True,64108,KC20009618
5258,True,64134,KC20011352
5286,True,64111,KC20015257
5288,True,64131,KC20001012
5318,True,64127,KC20015682
5329,True,64138,KC20013712
5362,True,64134,KC20014117
5442,True,64132,KC20011595
5462,True,64132,KC20013754
5470,True,64123,KC20007026
5472,True,64134,KC20014012
5477,True,64118,KC20007781
5483,True,64128,KC20012399
5493,True,64132,KC20006854
5508,True,64213,KC20016364
5542,True,64124,KC20008442
5547,True,64130,KC20016984
5560,True,64130,KC20016489
